A,B,C,D,x,y
72.2984509,24.33926353,24.44611329,33.87841339,0,5
57.95991228,17.5227553,30.7685199,38.91303923,0,5
62.21385312,21.63943482,28.86284297,32.14405756,0,5
59.32897533,22.07356374,24.28764431,35.22246996,0,5
63.27935898,17.82037523,27.59858742,33.31449866,0,5
42.55853127,15.88100014,27.838917,26.09395887,0,5
66.87988078,19.52396777,24.92003321,24.81081589,0,5
63.8477749,14.95887429,25.95193325,37.12563647,0,5
58.79442374,21.79134779,26.10541284,31.73140575,0,5
61.24149541,16.97232148,26.92952318,37.36538974,0,5
66.82636457,21.31464495,23.04147148,23.77237106,0,5
65.71087363,16.87098553,28.88606789,34.48711603,0,5
31.8748428,8.70456818,20.41292653,31.46398656,5,5
67.78432648,19.86202162,24.6217331,44.31317429,5,5
67.2408592,18.8271885,24.57993854,43.41805752,5,5
66.92373067,18.48301409,26.27598008,44.49166719,5,5
52.94513774,20.95733106,21.1845018,35.64871418,5,5
67.24281848,18.90904228,29.53664981,43.23397089,5,5
67.49380876,18.04335506,29.82432535,41.13661964,5,5
62.88060142,17.44674718,26.44206069,39.80395147,5,5
64.38103506,14.71616508,29.36008377,42.48858323,5,5
66.21851278,19.05325862,29.41566237,41.81581015,5,5
67.08226223,19.13436698,29.56362395,42.43947416,5,5
61.74604067,19.39525277,29.89995045,42.90444795,5,5
40.39381636,17.40684828,19.43225453,35.41967217,10,5
53.8946661,13.82076552,16.97263559,38.53855256,10,5
60.10059588,18.4732314,18.59793807,40.27101192,10,5
60.63754931,17.33192728,22.46102029,29.39558636,10,5
53.34376643,18.78435949,16.94814387,39.84892787,10,5
51.7501758,20.18162228,23.34193632,38.76120719,10,5
46.59711784,18.38474949,25.63772519,28.37102626,10,5
56.83066328,14.4626569,22.75879457,39.7661965,10,5
52.88148283,18.58066599,16.24261731,41.21054296,10,5
58.17287555,17.54716067,16.42153532,39.88599361,10,5
44.3232235,15.06553301,19.72030947,35.76849642,10,5
61.9118793,22.48609908,20.31371174,29.33878281,10,5
54.13074784,20.62533836,25.16490663,56.72333165,15,5
44.27773265,16.12078351,21.35878519,49.7469049,15,5
45.95134428,17.54162232,19.90071231,51.76410266,15,5
65.51694752,22.4076162,22.75965593,36.95394148,15,5
48.92892847,20.0348549,21.7535271,52.76292164,15,5
53.55371554,18.62765835,23.64038476,47.42049965,15,5
61.73526779,17.13583227,22.43898614,43.46540618,15,5
41.62463221,8.537611001,13.20710984,31.96076121,15,5
47.45411012,18.3903033,20.48992649,50.4795068,15,5
47.77787982,19.15436079,25.09485478,40.13656955,15,5
64.17643213,17.32458598,26.20405335,50.41831169,15,5
63.74679037,16.44370404,20.92712848,45.41160986,15,5
61.87253499,18.75203788,27.22445127,45.95342575,20,5
52.87027835,17.5689605,18.33521846,57.82363888,20,5
43.74569869,12.78546314,19.65643071,59.47415777,20,5
60.25227853,13.6729094,23.42591068,40.91794048,20,5
61.20353376,20.36932481,20.57244302,55.04069495,20,5
50.31087165,20.89457985,20.9277126,53.81639495,20,5
62.9632022,17.88005933,18.13154561,55.45030795,20,5
46.52599593,19.53756249,22.30547688,53.47932659,20,5
60.84323913,20.04419451,18.31164202,55.60515603,20,5
44.29968579,13.33967407,21.19959303,51.80872513,20,5
61.30658807,21.17916024,19.50026759,54.78832254,20,5
54.77887375,20.3753902,17.25664057,60.36427663,20,5
53.66204429,14.01314988,21.58589946,55.38542578,25,5
54.6075035,16.28571268,21.94647617,62.11379237,25,5
50.74273063,16.09692351,16.65432596,62.87632674,25,5
37.08358616,17.29706387,23.61528698,45.54996235,25,5
50.01385611,17.0265863,20.69530997,60.4416528,25,5
42.41083076,13.44626075,20.09059048,59.8895202,25,5
52.89536932,13.5478617,21.54001312,56.46494671,25,5
56.23023776,20.30056427,19.53716396,44.7632473,25,5
50.50603768,15.72078464,15.91539774,62.16716951,25,5
41.70358745,17.22632803,21.06000394,59.16185559,25,5
52.18661818,11.20069586,20.67474265,52.31235769,25,5
